PeakID (cmd=annotatePeaks.pl reproducible_peaks_blacklist_filtered.bed GRCh38.primary_assembly.genome.fa -gtf gencode.v45.primary_assembly.annotation.gtf)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr7-75	chr7	108455946	108456202	+	1	NA	intron (ENST00000418239.1, intron 1 of 5)	protein_coding-intron (ENST00000351718.8, intron 1 of 27)	247	ENST00000379024.8	ENSG00000091129	ENST00000489800			NRCAM			protein_coding
chr15-38	chr15	65517333	65517500	+	1	NA	promoter-TSS (ENST00000341861.9)	protein_coding-promoter-TSS (ENST00000341861.9)	-78	ENST00000560436.1	ENSG00000074603	ENST00000558786			DPP8			protein_coding
chr20-1418	chr20	47979696	47979890	+	1	NA	TTS (ENST00000428999.1)	lncRNA-TTS (ENST00000428999.1)	-3611	ENST00000425385.1	ENSG00000229522	ENST00000425385			LINC01523			lncRNA
chr20-5	chr20	50790728	50791010	+	1	NA	Intergenic	Intergenic	-4025	ENST00000358791.9	ENSG00000124243	ENST00000485049			BCAS4			protein_coding
chr12-198	chr12	121352416	121352696	+	1	NA	promoter-TSS (ENST00000261819.8)	protein_coding-promoter-TSS (ENST00000261819.8)	-139	ENST00000536416.5	ENSG00000089053	ENST00000539612			ANAPC5			protein_coding
chr18-43	chr18	12741441	12741711	+	1	NA	intron (ENST00000657716.1, intron 2 of 2)	lncRNA-intron (ENST00000587889.1, intron 1 of 1)	8492	ENST00000587889.1	ENSG00000266961	ENST00000587889			ENSG00000266961			lncRNA
chr15-141	chr15	52803738	52803966	+	1	NA	intron (ENST00000701755.1, intron 3 of 3)	lncRNA-intron (ENST00000560818.1, intron 2 of 2)	1040	ENST00000690221.1	ENSG00000259203	ENST00000660503			ENSG00000259203			lncRNA
chr9-347	chr9	38046872	38046986	+	1	NA	intron (ENST00000540557.1, intron 1 of 11)	protein_coding-intron (ENST00000377707.4, intron 1 of 5)	21758	ENST00000540557.1	ENSG00000255872	ENST00000540557			ENSG00000255872			protein_coding
chr16-578	chr16	30534849	30535122	+	1	NA	promoter-TSS (ENST00000395094.3)	protein_coding-promoter-TSS (ENST00000395094.3)	19	ENST00000568028.1	ENSG00000169955	ENST00000568028			ZNF747			protein_coding
chr14-49	chr14	64960895	64961195	+	1	NA	intron (ENST00000642625.1, intron 1 of 7)	protein_coding-intron (ENST00000267512.9, intron 1 of 6)	-10218	ENST00000555256.1	ENSG00000139998	ENST00000646728			RAB15			protein_coding
chr17-458	chr17	83200457	83200652	+	1	NA	TTS (ENST00000651869.1)	lncRNA-TTS (ENST00000651869.1)	902	ENST00000691786.1	ENSG00000262898	ENST00000651869			ENSG00000262898			lncRNA
chr20-1416	chr20	47946103	47946207	+	1	NA	Intergenic	Intergenic	-4642	ENST00000666669.1	ENSG00000234967	ENST00000666669			ENSG00000234967			lncRNA
chr7-294	chr7	100049667	100049961	+	1	NA	promoter-TSS (ENST00000292450.9)	protein_coding-promoter-TSS (ENST00000292450.9)	20	ENST00000438937.1	ENSG00000166529	ENST00000438937			ZSCAN21			protein_coding
chr9-414	chr9	114587590	114587865	+	1	NA	promoter-TSS (ENST00000374050.4)	protein_coding-promoter-TSS (ENST00000374050.4)	21	ENST00000677115.1	ENSG00000136888	ENST00000677115			ATP6V1G1			protein_coding
chr15-275	chr15	92694109	92694336	+	1	NA	intron (ENST00000557398.2, intron 2 of 3)	protein_coding-intron (ENST00000557398.2, intron 2 of 3)	-17586	ENST00000431116.2	ENSG00000253954	ENST00000431116			HMGN1P38			processed_pseudogene
chr3-486	chr3	64552321	64552397	+	1	NA	intron (ENST00000498707.5, intron 30 of 39)	protein_coding-intron (ENST00000295903.8, intron 29 of 38)	-8963	ENST00000626014.2	ENSG00000241158	ENST00000480831			ADAMTS9-AS1			lncRNA
chr10-240	chr10	43375393	43375632	+	1	NA	exon (ENST00000476166.6, exon 6 of 9)	protein_coding-exon (ENST00000476166.6, exon 6 of 9)	1043	ENST00000479189.1	ENSG00000150201	ENST00000480834			FXYD4			protein_coding
chr15-377	chr15	73995022	73995281	+	1	NA	promoter-TSS (ENST00000561656.5)	protein_coding-promoter-TSS (ENST00000561656.5)	348	ENST00000563500.5	ENSG00000140464	ENST00000565898			PML			protein_coding
chr17-1864	chr17	75904971	75905247	+	1	NA	promoter-TSS (ENST00000309352.4)	protein_coding-promoter-TSS (ENST00000309352.4)	-16	ENST00000410030.1	ENSG00000204316	ENST00000474548			MRPL38			protein_coding
chr20-2067	chr20	45329584	45329839	+	1	NA	intron (ENST00000372733.3, intron 4 of 4)	protein_coding-intron (ENST00000372733.3, intron 4 of 4)	13786	ENST00000622729.1	ENSG00000124232	ENST00000343694			RBPJL			protein_coding
chr1-399	chr1	12595935	12596151	+	1	NA	exon (ENST00000430996.2, exon 1 of 4)	protein_coding-exon (ENST00000430996.2, exon 1 of 4)	265	ENST00000430996.2	ENSG00000162496	ENST00000464917			DHRS3			protein_coding
chr19-288	chr19	15195485	15195782	+	1	NA	intron (ENST00000601011.1, intron 2 of 22)	protein_coding-intron (ENST00000263388.7, intron 2 of 32)	5269	ENST00000601011.1	ENSG00000074181	ENST00000263388			NOTCH3			protein_coding
chr17-33	chr17	51120929	51121228	+	1	NA	promoter-TSS (ENST00000262013.12)	protein_coding-promoter-TSS (ENST00000262013.12)	-210	ENST00000262013.12	ENSG00000008294	ENST00000576492			SPAG9			protein_coding
chr2-150	chr2	110678047	110678124	+	1	NA	promoter-TSS (ENST00000302759.11)	protein_coding-promoter-TSS (ENST00000302759.11)	-22	ENST00000409311.5	ENSG00000169679	ENST00000490632			BUB1			protein_coding
chr8-28	chr8	124372726	124372944	+	1	NA	promoter-TSS (ENST00000297632.8)	protein_coding-promoter-TSS (ENST00000297632.8)	-134	ENST00000297632.8	ENSG00000164983	ENST00000704785			TMEM65			protein_coding
chr3-869	chr3	141456366	141456404	+	1	NA	promoter-TSS (ENST00000673707.1)	lncRNA-promoter-TSS (ENST00000673707.1)	49	ENST00000673707.1	ENSG00000288585	ENST00000673707			ENSG00000288585			lncRNA
chr6-43-2	chr6	7389871	7390156	+	1	NA	promoter-TSS (ENST00000296742.11)	protein_coding-promoter-TSS (ENST00000296742.11)	205	ENST00000379834.7	ENSG00000124784	ENST00000493691			RIOK1			protein_coding
chr22-116	chr22	50293363	50293624	+	1	NA	intron (ENST00000449103.5, intron 2 of 36)	protein_coding-intron (ENST00000359337.9, intron 2 of 36)	-3932	ENST00000411680.1	ENSG00000196576	ENST00000479701			PLXNB2			protein_coding
chr20-1142	chr20	47576625	47576914	+	1	NA	intron (ENST00000372004.7, intron 1 of 22)	protein_coding-intron (ENST00000371997.3, intron 1 of 22)	-46189	ENST00000490248.1	ENSG00000124151	ENST00000490248			NCOA3			protein_coding
chr11-243	chr11	118659861	118659880	+	1	NA	TTS (ENST00000531295.5)	protein_coding-TTS (ENST00000531295.5)	9269	ENST00000620788.1	ENSG00000019144	ENST00000530994			PHLDB1			protein_coding
chr16-629	chr16	72996582	72996878	+	1	NA	intron (ENST00000641206.2, intron 9 of 17)	protein_coding-intron (ENST00000268489.10, intron 1 of 9)	9411	ENST00000623314.1	ENSG00000280092	ENST00000623314			ENSG00000280092			TEC
chr14-232	chr14	73526263	73526531	+	1	NA	intron (ENST00000334988.2, intron 1 of 16)	protein_coding-intron (ENST00000334988.2, intron 1 of 16)	3519	ENST00000555972.2	ENSG00000258695	ENST00000555972			ENSG00000258695			lncRNA
chr19-70	chr19	38837820	38838109	+	1	NA	promoter-TSS (ENST00000595804.5)	protein_coding-promoter-TSS (ENST00000595804.5)	-379	ENST00000595804.5	ENSG00000104824	ENST00000601449			HNRNPL			protein_coding
chr7-101	chr7	139133551	139133796	+	1	NA	promoter-TSS (ENST00000343187.8)	protein_coding-promoter-TSS (ENST00000343187.8)	-71	ENST00000430935.5	ENSG00000105948	ENST00000430935			IFT56			protein_coding
chr5-82	chr5	90558947	90559241	+	1	NA	intron (ENST00000640281.1, intron 1 of 6)	protein_coding-intron (ENST00000405460.9, intron 1 of 89)	257	ENST00000640281.1	ENSG00000164199	ENST00000504142			ADGRV1			protein_coding
chr12-245	chr12	64625354	64625644	+	1	NA	intron (ENST00000542104.6, intron 1 of 4)	protein_coding-intron (ENST00000283172.8, intron 1 of 3)	-2845	ENST00000444853.2	ENSG00000225195	ENST00000444853			ENSG00000225195			lncRNA
chr12-169	chr12	55927815	55927915	+	1	NA	promoter-TSS (ENST00000302533.6)	protein_coding-promoter-TSS (ENST00000302533.6)	10	ENST00000454792.2	ENSG00000170473	ENST00000557259			PYM1			protein_coding
chr11-27	chr11	1772556	1772840	+	1	NA	Intergenic	Intergenic	-1047	ENST00000658619.1	ENSG00000287484	ENST00000658619			ENSG00000287484			lncRNA
chr2-251	chr2	3575052	3575313	+	1	NA	promoter-TSS (ENST00000403564.5)	protein_coding-promoter-TSS (ENST00000403564.5)	-78	ENST00000645674.2	ENSG00000171863	ENST00000479123			RPS7			protein_coding
chr15-213	chr15	53072268	53072358	+	1	NA	intron (ENST00000692805.1, intron 1 of 1)	lncRNA-intron (ENST00000692805.1, intron 1 of 1)	37143	ENST00000692805.1	ENSG00000259237	ENST00000692805			LINC02490			lncRNA
chr2-207	chr2	109470530	109470815	+	1	NA	intron (ENST00000309415.8, intron 8 of 9)	protein_coding-intron (ENST00000309415.8, intron 8 of 9)	-81864	ENST00000417974.1	ENSG00000237916	ENST00000417974			RPL37P12			processed_pseudogene
chr14-23	chr14	106872948	106872999	+	1	NA	exon (ENST00000640749.1, exon 2 of 2)	IG_V_pseudogene-exon (ENST00000640749.1, exon 2 of 2)	213	ENST00000640749.1	ENSG00000283906	ENST00000640749			IGHV4-80			IG_V_pseudogene
chr9-480	chr9	133376166	133376325	+	1	NA	promoter-TSS (ENST00000371957.4)	protein_coding-promoter-TSS (ENST00000371957.4)	-79	ENST00000618229.4	ENSG00000148248	ENST00000467910			SURF4			protein_coding
chr6-362	chr6	113971112	113971386	+	1	NA	promoter-TSS (ENST00000368632.6)	protein_coding-promoter-TSS (ENST00000368632.6)	-92	ENST00000368632.6	ENSG00000196591	ENST00000524334			HDAC2			protein_coding
chr22-105	chr22	41286286	41286510	+	1	NA	promoter-TSS (ENST00000356244.8)	protein_coding-promoter-TSS (ENST00000356244.8)	-211	ENST00000356244.8	ENSG00000100401	ENST00000422838			RANGAP1			protein_coding
chr12-383	chr12	53321500	53321537	+	1	NA	promoter-TSS (ENST00000209873.9)	protein_coding-promoter-TSS (ENST00000209873.9)	45	ENST00000546393.7	ENSG00000094914	ENST00000548931			AAAS			protein_coding
chr8-489	chr8	124973196	124973333	+	1	NA	promoter-TSS (ENST00000319286.6)	protein_coding-promoter-TSS (ENST00000319286.6)	-31	ENST00000319286.6	ENSG00000180938	ENST00000319286			ZNF572			protein_coding
chr18-7	chr18	24076144	24076435	+	1	NA	TTS (ENST00000578443.1)	lncRNA-TTS (ENST00000578443.1)	23031	ENST00000578443.1	ENSG00000265204	ENST00000578443			ENSG00000265204			lncRNA
chr8-95	chr8	17922457	17922743	+	1	NA	promoter-TSS (ENST00000325083.13)	protein_coding-promoter-TSS (ENST00000325083.13)	-242	ENST00000522275.6	ENSG00000078674	ENST00000518762			PCM1			protein_coding
chr3-727	chr3	64076313	64076376	+	1	NA	intron (ENST00000482609.1, intron 1 of 2)	lncRNA-intron (ENST00000482609.1, intron 1 of 2)	-4325	ENST00000363352.2	ENSG00000200222	ENST00000363352			U3			snoRNA
chr3-106	chr3	53347562	53347796	+	1	NA	promoter-TSS (ENST00000294241.10)	protein_coding-promoter-TSS (ENST00000294241.10)	-93	ENST00000560624.5	ENSG00000272886	ENST00000560624			DCP1A			protein_coding
chr7-64	chr7	2493890	2494154	+	1	NA	Intergenic	Intergenic	-17128	ENST00000611693.1	ENSG00000275572	ENST00000611693			GRIFIN			protein_coding
chr20-35	chr20	47453496	47453772	+	1	NA	Intergenic	Intergenic	25376	ENST00000425552.1	ENSG00000234075	ENST00000425552			RPL35AP			processed_pseudogene
chr9-167	chr9	81689403	81689669	+	1	NA	promoter-TSS (ENST00000376499.8)	protein_coding-promoter-TSS (ENST00000376499.8)	11	ENST00000376499.8	ENSG00000196781	ENST00000674113			TLE1			protein_coding
chr6-76	chr6	125717482	125717717	+	1	NA	TTS (ENST00000606001.1)	lncRNA-TTS (ENST00000606001.1)	16120	ENST00000670227.1	ENSG00000224506	ENST00000670227			LINC02523			lncRNA
chr9-285	chr9	127721528	127721742	+	1	NA	intron (ENST00000489226.5, intron 1 of 5)	protein_coding-intron (ENST00000373289.4, intron 6 of 13)	1346	ENST00000488285.1	ENSG00000167094	ENST00000489226			TTC16			protein_coding
chr9-371	chr9	92974643	92974721	+	1	NA	promoter-TSS (ENST00000467786.1)	protein_coding-promoter-TSS (ENST00000467786.1)	182	ENST00000494669.2	ENSG00000127084	ENST00000468206			FGD3			protein_coding
chr16-138	chr16	21301713	21301784	+	1	NA	intron (ENST00000338573.9, intron 1 of 2)	protein_coding-intron (ENST00000219599.8, intron 1 of 9)	867	ENST00000561968.5	ENSG00000293411	ENST00000561968			ENSG00000293411			lncRNA
chr7-3	chr7	47979436	47979731	+	1	NA	promoter-TSS (ENST00000258774.10)	protein_coding-promoter-TSS (ENST00000258774.10)	-30	ENST00000432325.5	ENSG00000136273	ENST00000258774			HUS1			protein_coding
chr17-105	chr17	66952288	66952501	+	1	NA	Intergenic	Intergenic	12126	ENST00000701320.1	ENSG00000289877	ENST00000701320			ENSG00000289877			lncRNA
chr19-25	chr19	30479335	30479628	+	1	NA	intron (ENST00000706150.1, intron 2 of 5)	protein_coding-intron (ENST00000355537.4, intron 2 of 4)	-13610	ENST00000688284.1	ENSG00000289187	ENST00000688284			ENSG00000289187			lncRNA
chr7-448	chr7	77537384	77537652	+	1	NA	promoter-TSS (ENST00000415482.6)	protein_coding-promoter-TSS (ENST00000415482.6)	1	ENST00000460731.5	ENSG00000127947	ENST00000460731			PTPN12			protein_coding
chr17-356	chr17	81393912	81394212	+	1	NA	TTS (ENST00000701623.1)	lncRNA-TTS (ENST00000701623.1)	-1395	ENST00000675386.2	ENSG00000266074	ENST00000625166			BAHCC1			protein_coding
chr18-38	chr18	9136826	9136899	+	1	NA	promoter-TSS (ENST00000262126.9)	protein_coding-promoter-TSS (ENST00000262126.9)	23	ENST00000581635.5	ENSG00000101745	ENST00000400020			ANKRD12			protein_coding
chr19-52	chr19	44890814	44891033	+	1	NA	promoter-TSS (ENST00000252487.9)	protein_coding-promoter-TSS (ENST00000252487.9)	-47	ENST00000585408.1	ENSG00000267282	ENST00000585408			ENSG00000267282			lncRNA
chr3-52	chr3	150238306	150238545	+	1	NA	promoter-TSS (ENST00000472890.5)	lncRNA-promoter-TSS (ENST00000472890.5)	-94	ENST00000472890.5	ENSG00000244541	ENST00000665197			LINC01213			lncRNA
chr16-88	chr16	3003898	3004197	+	1	NA	promoter-TSS (ENST00000692767.1)	protein_coding-promoter-TSS (ENST00000692767.1)	-85	ENST00000692767.1	ENSG00000289281	ENST00000692767			ENSG00000289281			protein_coding
chr6-201	chr6	44246370	44246660	+	1	NA	promoter-TSS (ENST00000353801.7)	protein_coding-promoter-TSS (ENST00000353801.7)	349	ENST00000620073.4	ENSG00000096384	ENST00000371646			HSP90AB1			protein_coding
chr20-352	chr20	47493917	47494206	+	1	NA	promoter-TSS (ENST00000364872.1)	snRNA-promoter-TSS (ENST00000364872.1)	-976	ENST00000364872.1	ENSG00000201742	ENST00000364872			RNU6-563P			snRNA
chr21-9	chr21	41966270	41966493	+	1	NA	Intergenic	Intergenic	-12363	ENST00000380486.4	ENSG00000157617	ENST00000449165			C2CD2			protein_coding
chr2-341	chr2	178414695	178414968	+	1	NA	exon (ENST00000686412.1, exon 1 of 1)	lncRNA-exon (ENST00000686412.1, exon 1 of 1)	808	ENST00000415236.1	ENSG00000223960	ENST00000688877			CHROMR			lncRNA
chr15-43	chr15	69594420	69594718	+	1	NA	intron (ENST00000560655.5, intron 1 of 3)	lncRNA-intron (ENST00000558411.1, intron 1 of 1)	2356	ENST00000560655.5	ENSG00000245750	ENST00000662698			DRAIC			lncRNA
chr1-834	chr1	171485307	171485607	+	1	NA	promoter-TSS (ENST00000338920.8)	protein_coding-promoter-TSS (ENST00000338920.8)	-73	ENST00000647382.2	ENSG00000117523	ENST00000367742			PRRC2C			protein_coding
chr1-800	chr1	152164769	152164999	+	1	NA	intron (ENST00000628080.1, intron 1 of 1)	lncRNA-intron (ENST00000628080.1, intron 1 of 1)	-3241	ENST00000593011.5	ENSG00000237975	ENST00000445097			FLG-AS1			lncRNA
chr11-16	chr11	117887958	117888214	+	1	NA	Intergenic	Intergenic	-10600	ENST00000527717.5	ENSG00000137726	ENST00000526014			FXYD6			protein_coding
chr12-279	chr12	113246615	113246892	+	1	NA	intron (ENST00000551099.5, intron 3 of 3)	protein_coding-intron (ENST00000335509.11, intron 2 of 27)	2250	ENST00000428632.7	ENSG00000186815	ENST00000551096			TPCN1			protein_coding
chr14-256	chr14	92348162	92348406	+	1	NA	intron (ENST00000676001.1, intron 3 of 17)	protein_coding-intron (ENST00000393265.6, intron 2 of 16)	25091	ENST00000531433.5	ENSG00000140090	ENST00000393265			SLC24A4			protein_coding
chr20-11	chr20	47357471	47357691	+	1	NA	promoter-TSS (ENST00000262975.8)	protein_coding-promoter-TSS (ENST00000262975.8)	-309	ENST00000700990.1	ENSG00000289848	ENST00000700990			ENSG00000289848			lncRNA
chr14-107	chr14	24093973	24094214	+	1	NA	promoter-TSS (ENST00000216780.9)	protein_coding-promoter-TSS (ENST00000216780.9)	40	ENST00000559250.5	ENSG00000100889	ENST00000558674			PCK2			protein_coding
chr9-142	chr9	133873237	133873501	+	1	NA	intron (ENST00000486113.1, intron 2 of 2)	protein_coding-intron (ENST00000371850.8, intron 2 of 29)	65932	ENST00000472905.1	ENSG00000160293	ENST00000371850			VAV2			protein_coding
chr1-361	chr1	183719454	183719646	+	1	NA	intron (ENST00000304685.8, intron 1 of 18)	protein_coding-intron (ENST00000304685.8, intron 1 of 18)	-9310	ENST00000604110.1	ENSG00000270994	ENST00000604110			ENSG00000270994			processed_pseudogene
chr6-100	chr6	108689280	108689563	+	1	NA	Intergenic	Intergenic	33075	ENST00000540898.1	ENSG00000118689	ENST00000343882			FOXO3			protein_coding
chr9-99	chr9	89318674	89318905	+	1	NA	promoter-TSS (ENST00000534113.6)	protein_coding-promoter-TSS (ENST00000534113.6)	-62	ENST00000534113.6	ENSG00000187742	ENST00000477484			SECISBP2			protein_coding
chr6-134	chr6	47309868	47310007	+	1	NA	promoter-TSS (ENST00000296861.2)	protein_coding-promoter-TSS (ENST00000296861.2)	-32	ENST00000296861.2	ENSG00000146072	ENST00000296861			TNFRSF21			protein_coding
chr1-236	chr1	110339613	110339636	+	1	NA	promoter-TSS (ENST00000449169.1)	lncRNA-promoter-TSS (ENST00000449169.1)	158	ENST00000617047.1	ENSG00000162775	ENST00000652342			RBM15			protein_coding
chr8-237	chr8	11820346	11820543	+	1	NA	intron (ENST00000443614.6, intron 3 of 6)	protein_coding-intron (ENST00000220584.9, intron 3 of 7)	-1337	ENST00000528729.2	ENSG00000079459	ENST00000528812			FDFT1			protein_coding
chr21-16	chr21	45287945	45288192	+	1	NA	promoter-TSS (ENST00000331343.11)	protein_coding-promoter-TSS (ENST00000331343.11)	6	ENST00000647108.1	ENSG00000223768	ENST00000701789			LINC00205			lncRNA
chr15-89	chr15	89334804	89335031	+	1	NA	promoter-TSS (ENST00000268124.11)	protein_coding-promoter-TSS (ENST00000268124.11)	-56	ENST00000442287.6	ENSG00000140521	ENST00000268124			POLG			protein_coding
chr9-2	chr9	128298980	128299280	+	1	NA	intron (ENST00000652598.1, intron 4 of 6)	protein_coding-intron (ENST00000652598.1, intron 4 of 6)	12224	ENST00000461180.1	ENSG00000167112	ENST00000372890			TRUB2			protein_coding
chr6-225	chr6	133983486	133983776	+	1	NA	promoter-TSS (ENST00000481694.1)	protein_coding-promoter-TSS (ENST00000481694.1)	-745	ENST00000481694.1	ENSG00000028839	ENST00000477527			TBPL1			protein_coding
chr11-9	chr11	74546769	74546985	+	1	NA	intron (ENST00000528481.5, intron 1 of 5)	protein_coding-intron (ENST00000528481.5, intron 1 of 5)	-45679	ENST00000532784.5	ENSG00000077514	ENST00000527458			POLD3			protein_coding
chr3-417	chr3	33798864	33799120	+	1	NA	promoter-TSS (ENST00000498147.5)	protein_coding-promoter-TSS (ENST00000498147.5)	52	ENST00000498147.5	ENSG00000170248	ENST00000435909			PDCD6IP			protein_coding
chr19-57	chr19	54173112	54173346	+	1	NA	promoter-TSS (ENST00000446291.1)	protein_coding-promoter-TSS (ENST00000446291.1)	21	ENST00000617472.4	ENSG00000167608	ENST00000495398			TMC4			protein_coding
chr16-164-2	chr16	85613061	85613340	+	1	NA	promoter-TSS (ENST00000253458.12)	protein_coding-promoter-TSS (ENST00000253458.12)	43	ENST00000411612.5	ENSG00000131149	ENST00000438180			GSE1			protein_coding
chr12-33	chr12	49060741	49060933	+	1	NA	promoter-TSS (ENST00000301067.12)	protein_coding-promoter-TSS (ENST00000301067.12)	-43	ENST00000692465.1	ENSG00000167548	ENST00000687241			KMT2D			protein_coding
chr16-502	chr16	4802208	4802363	+	1	NA	promoter-TSS (ENST00000586336.5)	protein_coding-promoter-TSS (ENST00000586336.5)	-101	ENST00000586336.5	ENSG00000067836	ENST00000322048			ROGDI			protein_coding
chr10-11	chr10	125064701	125064982	+	1	NA	intron (ENST00000476817.1, intron 2 of 2)	protein_coding-intron (ENST00000337195.10, intron 2 of 10)	-31971	ENST00000581038.1	ENSG00000264572	ENST00000581038			MIR4296			miRNA
chr14-247	chr14	79343002	79343272	+	1	NA	intron (ENST00000556003.1, intron 1 of 3)	protein_coding-intron (ENST00000281127.11, intron 1 of 5)	29086	ENST00000556003.1	ENSG00000021645	ENST00000553363			NRXN3			protein_coding
chr3-379	chr3	193816543	193816836	+	1	NA	Intergenic	Intergenic	27320	ENST00000439074.2	ENSG00000229155	ENST00000439074			LINC02038			lncRNA
chr20-907	chr20	47259443	47259656	+	1	NA	intron (ENST00000540497.5, intron 11 of 20)	protein_coding-intron (ENST00000262975.8, intron 13 of 23)	39351	ENST00000467200.6	ENSG00000101040	ENST00000611941			ZMYND8			protein_coding
chr14-91	chr14	75277234	75277525	+	1	NA	Intergenic	Intergenic	-1447	ENST00000554617.1	ENSG00000170345	ENST00000535987			FOS			protein_coding
chr20-1421	chr20	48006697	48006757	+	1	NA	Intergenic	Intergenic	15510	ENST00000651247.1	ENSG00000286179	ENST00000651247			ENSG00000286179			lncRNA
